기간,자치구,합계,합계,살인,살인,강도,강도,강간강제추행,강간강제추행,절도,절도,폭력,폭력
기간,자치구,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거
2015,합계,126401,82680,163,156,276,257,5449,5069,55307,21842,65206,55356
2015,종로구,4705,4430,6,8,11,13,211,1139,2184,1145,2293,2125
2015,중구,4954,2942,3,2,9,6,170,111,2548,859,2224,1964
2015,용산구,3820,2483,5,5,14,14,194,173,1557,587,2050,1704
2015,성동구,3358,2123,4,4,9,8,126,119,1607,597,1612,1395
2015,광진구,5909,3707,4,4,14,26,240,220,3026,1277,2625,2180
2015,동대문구,4720,3205,5,5,13,13,173,146,1981,814,2548,2227
2015,중랑구,5193,3405,13,12,11,9,187,148,2135,829,2847,2407
2015,성북구,4154,2729,5,5,5,4,150,124,1785,741,2209,1855
2015,강북구,4257,3113,7,8,14,13,153,126,1434,618,2649,2348
2015,도봉구,2664,1900,3,3,9,10,102,106,1063,478,1487,1303
2015,노원구,5130,3268,10,10,7,7,197,121,2193,801,2723,2329
2015,은평구,4745,3167,3,3,9,6,166,141,1914,711,2653,2306
2015,서대문구,4029,2579,2,2,5,4,154,124,1812,738,2056,1711
2015,마포구,5854,3597,8,8,14,10,294,247,2555,813,2983,2519
2015,양천구,4528,2815,3,5,6,3,120,105,1890,672,2509,2030
2015,강서구,5585,4190,7,8,13,13,262,191,2096,1260,3207,2718
2015,구로구,5646,3502,8,6,15,11,281,164,2335,889,3007,2432
2015,금천구,3781,2796,3,4,6,6,151,122,1567,888,2054,1776
2015,영등포구,6867,4154,14,12,22,20,295,183,2964,978,3572,2961
2015,동작구,4074,2397,5,5,9,5,285,139,1865,661,1910,1587
2015,관악구,6345,3712,9,8,12,14,320,221,2706,827,3298,2642
2015,서초구,5444,3450,8,6,9,6,393,249,2635,1091,2399,2098
2015,강남구,8617,5732,13,10,21,18,449,349,3850,1650,4284,3705
2015,송파구,6778,4113,11,10,13,10,220,178,3239,1129,3295,2786
2015,강동구,5244,3171,4,3,6,8,156,123,2366,789,2712,2248
2016,합계,117839,84421,148,147,262,257,6002,5565,46857,22566,64570,55886
2016,종로구,4459,4298,6,5,12,14,238,1106,1940,1020,2263,2153
2016,중구,4584,3068,3,3,8,7,198,148,2150,914,2225,1996
2016,용산구,4137,2835,4,4,9,10,251,214,1489,599,2384,2008
2016,성동구,3026,2392,4,5,3,5,104,78,1296,896,1619,1408
2016,광진구,5322,3312,4,4,11,6,279,234,2636,1057,2392,2011
2016,동대문구,4787,3623,5,5,10,12,190,158,1940,1071,2642,2377
2016,중랑구,5041,3935,8,7,14,14,164,150,1691,1052,3164,2712
2016,성북구,3744,2672,4,3,8,8,154,117,1470,725,2108,1819
2016,강북구,4229,3323,7,6,5,4,217,159,1222,672,2778,2482
2016,도봉구,2438,1930,3,3,5,5,123,121,866,492,1441,1309
2016,노원구,4543,3021,5,6,6,9,159,142,1857,740,2516,2124
2016,은평구,4501,3353,6,6,9,7,156,142,1666,890,2664,2308
2016,서대문구,3665,2554,6,7,5,4,175,147,1503,752,1976,1644
2016,마포구,5873,3771,4,4,4,7,399,320,2527,940,2939,2500
2016,양천구,4112,2793,5,5,7,7,131,108,1719,755,2250,1918
2016,강서구,5450,4097,9,10,10,10,275,239,1952,1070,3204,2768
2016,구로구,5366,3744,9,9,10,13,273,181,1910,861,3164,2680
2016,금천구,3645,2756,6,6,7,7,175,143,1264,654,2193,1946
2016,영등포구,6322,4199,13,13,19,14,356,225,2341,940,3593,3007
2016,동작구,3227,2160,8,6,7,7,325,149,1226,554,1661,1444
2016,관악구,5678,3925,6,7,12,10,322,264,2103,937,3235,2707
2016,서초구,4989,3422,5,5,13,10,428,271,2205,1107,2338,2029
2016,강남구,8149,5905,5,5,39,42,516,413,3587,1918,4002,3527
2016,송파구,6090,4060,9,8,15,12,234,184,2543,1048,3289,2808
2016,강동구,4462,3273,4,5,14,13,160,152,1754,902,2530,2201
2017,합계,107835,79865,142,140,169,170,6963,6558,41162,21421,59399,51576
2017,종로구,4057,4437,7,9,10,15,253,1412,1644,905,2143,2096
2017,중구,4184,2851,1,0,9,9,267,149,1846,889,2061,1804
2017,용산구,4060,2936,1,1,5,4,327,289,1346,626,2381,2016
2017,성동구,2767,2031,1,1,3,3,132,106,1072,543,1559,1378
2017,광진구,4646,3289,6,5,13,8,261,208,2220,1168,2146,1900
