"자치구 코드","자치구 명"
"1100000000","인근지역"
"1111000000","종로구"
"1114000000","중구"
"1117000000","용산구"
"1120000000","성동구"
"1121500000","광진구"
"1123000000","동대문구"
"1126000000","중랑구"
"1129000000","성북구"
"1130500000","강북구"
"1132000000","도봉구"
"1135000000","노원구"
"1138000000","은평구"
"1141000000","서대문구"
"1144000000","마포구"
"1147000000","양천구"
"1150000000","강서구"
"1153000000","구로구"
"1154500000","금천구"
"1156000000","영등포구"
"1159000000","동작구"
"1162000000","관악구"
"1165000000","서초구"
"1168000000","강남구"
"1171000000","송파구"
"1174000000","강동구"
